evento_nome,data_evento,material_titulo,url,tipo,palestrante_nome,tags,descricao
Oficinas,,Materiais das Oficinas,https://drive.google.com/drive/folders/1tdEfeUWN49Btqpif6ReWbSFmisacfibe,link,,oficina,
Fluxo Online - Time VTSD 2023,2023-01-01,Materiais Fluxo Online - Time VTSD 2023,https://drive.google.com/drive/folders/1aCqXdCXNeYz5CJb5_MLKWaI9Ul1rzB6y,link,,fluxo-online;time-vtsd,
Fluxo Online - 3/23,2023-03-01,Materiais Fluxo Online 3/23,https://drive.google.com/drive/folders/1B3dXGR1Iw-wWYhLoiCZeB4-iSa8DqTS5,link,,fluxo-online,
Black Friday 2023,2023-11-01,Materiais Black Friday 2023,https://drive.google.com/drive/folders/1b8yig6uCh-PYTL02DMljY1SerVULRbat?usp=sharing,link,,black-friday,
Fluxo Festival 2024,2024-01-01,Materiais Fluxo Festival 2024,https://drive.google.com/drive/folders/1BDqpXPOPrY1NaAHbQ0hwlLX8_eUqQqfg,link,,festival,
Fluxo Festival 2024 - Pro e Master,2024-01-01,Materiais Fluxo Festival 2024 - Pro e Master,https://drive.google.com/drive/folders/1n0Yfs0GnGk83MXxt66VDcMrOYK1REB8z,link,,festival;pro-master,
Fluxo Online 2024,2024-01-01,Materiais Fluxo Online 2024,https://drive.google.com/drive/folders/1IK2VHbZJJ_eaBChXn_zcU3CUm0L5_hVf?usp=sharing,link,,fluxo-online,
Retiro CDP 2024,2024-01-01,Retiro CDP 2024,https://drive.google.com/drive/folders/15_9W-I78yXMapUBstzlyFi30MmFVytfA?usp=drive_link,link,,retiro;cdp,
Fluxo CrIAtivo - 2/24,2024-02-01,Materiais Fluxo CrIAtivo 2/24,https://drive.google.com/drive/folders/1VnjW3MrXgT2ok7TMk2o3ZQIOSArV9MzN,link,,criativo;ia,
Retiro Black Friday 2024,2024-11-01,Materiais Retiro Black Friday 2024,https://drive.google.com/drive/folders/1v-DKRv4q2-QLPPjRn4tKajlNoloUd9Fz,link,,retiro;black-friday,
Retiro Caixa Rápido 2024,2024-01-01,Materiais Retiro Caixa Rápido 2024,https://drive.google.com/drive/folders/1nAEsQrCBTBYm6p36pq1vGawF0T2gf6X3?usp=sharing,link,,retiro;caixa-rapido,
